full_name,email,parent_phone,gender,grade,section,photo_path
"حسين فؤاد المؤيد",student1_ب_40@example.com,768475444,male,1,ب,students/student_1_ب_40.jpg
"عبدالله وليد السفياني",student1_ب_41@example.com,727191966,male,1,ب,students/student_1_ب_41.jpg
"محمد حسن الخميسي",student1_ب_42@example.com,794856398,male,1,ب,students/student_1_ب_42.jpg
"حنان مازن الإرياني",student1_ب_43@example.com,786287606,female,1,ب,students/student_1_ب_43.jpg
"عائشة أحمد الصايدي",student1_ب_44@example.com,716106179,female,1,ب,students/student_1_ب_44.jpg
"هدى حسن الهمداني",student1_ب_45@example.com,750840425,female,1,ب,students/student_1_ب_45.jpg
"عبير فارس اليافعي",student1_ب_46@example.com,777982986,female,1,ب,students/student_1_ب_46.jpg
"أمل علي المطري",student1_ب_47@example.com,779527739,female,1,ب,students/student_1_ب_47.jpg
"سلوى مازن القرشي",student1_ب_48@example.com,778322538,female,1,ب,students/student_1_ب_48.jpg
"حنان عبدالله الكندي",student1_ب_49@example.com,798241633,female,1,ب,students/student_1_ب_49.jpg
"عائشة فؤاد السفياني",student1_ب_50@example.com,711623891,female,1,ب,students/student_1_ب_50.jpg
"عائشة فارس المتوكل",student2_أ_1@example.com,737624730,female,2,أ,students/student_2_أ_1.jpg
"يسرى علي الكندي",student2_أ_2@example.com,743314430,female,2,أ,students/student_2_أ_2.jpg
"إيمان إبراهيم اليدومي",student2_أ_3@example.com,758589482,female,2,أ,students/student_2_أ_3.jpg
"عائشة محمد الذيفاني",student2_أ_4@example.com,799613479,female,2,أ,students/student_2_أ_4.jpg
"سارة محمد الزبيري",student2_أ_5@example.com,767817268,female,2,أ,students/student_2_أ_5.jpg
"ليلى عبدالله المؤيد",student2_أ_6@example.com,776191006,female,2,أ,students/student_2_أ_6.jpg
"حسن إبراهيم الحرازي",student2_أ_7@example.com,766325193,male,2,أ,students/student_2_أ_7.jpg
"أحمد حسين الكندي",student2_أ_8@example.com,766453409,male,2,أ,students/student_2_أ_8.jpg
"يحيى عمار القرشي",student2_أ_9@example.com,736242560,male,2,أ,students/student_2_أ_9.jpg
"سليمان حسن السفياني",student2_أ_10@example.com,727948682,male,2,أ,students/student_2_أ_10.jpg
"إبراهيم حسن الهمداني",student2_أ_11@example.com,723441197,male,2,أ,students/student_2_أ_11.jpg
"علي فارس السفياني",student2_أ_12@example.com,768315402,male,2,أ,students/student_2_أ_12.jpg
"فاطمة باسم القاسمي",student2_أ_13@example.com,723528166,female,2,أ,students/student_2_أ_13.jpg
"باسم علي المطري",student2_أ_14@example.com,740960613,male,2,أ,students/student_2_أ_14.jpg
"فاطمة فؤاد اليافعي",student2_أ_15@example.com,776366123,female,2,أ,students/student_2_أ_15.jpg
"خلود باسم الصايدي",student2_أ_16@example.com,780489550,female,2,أ,students/student_2_أ_16.jpg
"فارس علي المذحجي",student2_أ_17@example.com,714521803,male,2,أ,students/student_2_أ_17.jpg
"بلقيس رامي البكاري",student2_أ_18@example.com,720357815,female,2,أ,students/student_2_أ_18.jpg
"مازن عبدالله القرشي",student2_أ_19@example.com,714101459,male,2,أ,students/student_2_أ_19.jpg
"أمل أحمد الإرياني",student2_أ_20@example.com,748623172,female,2,أ,students/student_2_أ_20.jpg
"عائشة سليمان الأهجري",student2_أ_21@example.com,795581940,female,2,أ,students/student_2_أ_21.jpg
"رامي أحمد البيضاني",student2_أ_22@example.com,738650207,male,2,أ,students/student_2_أ_22.jpg
"ريم مازن السفياني",student2_أ_23@example.com,756534497,female,2,أ,students/student_2_أ_23.jpg
"سارة أحمد القرشي",student2_أ_24@example.com,735517791,female,2,أ,students/student_2_أ_24.jpg
"صالح هاني اليافعي",student2_أ_25@example.com,788757465,male,2,أ,students/student_2_أ_25.jpg
"عائشة حسن الجبري",student2_أ_26@example.com,713963732,female,2,أ,students/student_2_أ_26.jpg
"وليد حسين الحاشدي",student2_أ_27@example.com,783056071,male,2,أ,students/student_2_أ_27.jpg
"قاسم فؤاد الحرازي",student2_أ_28@example.com,743169980,male,2,أ,students/student_2_أ_28.jpg
"سارة قاسم القاسمي",student2_أ_29@example.com,718445624,female,2,أ,students/student_2_أ_29.jpg
"رامي إبراهيم البيضاني",student2_أ_30@example.com,737458473,male,2,أ,students/student_2_أ_30.jpg
"أروى فارس الأهجري",student2_أ_31@example.com,757008591,female,2,أ,students/student_2_أ_31.jpg
"فاطمة أحمد الأهجري",student2_أ_32@example.com,718160322,female,2,أ,students/student_2_أ_32.jpg
"خلود حسين السفياني",student2_أ_33@example.com,743979480,female,2,أ,students/student_2_أ_33.jpg
"حنان أحمد الصايدي",student2_أ_34@example.com,754724044,female,2,أ,students/student_2_أ_34.jpg
"يحيى وليد المطري",student2_أ_35@example.com,731269547,male,2,أ,students/student_2_أ_35.jpg
"نورا عبدالله الشريف",student2_أ_36@example.com,748293481,female,2,أ,students/student_2_أ_36.jpg
"صالح فارس الحرازي",student2_أ_37@example.com,787078462,male,2,أ,students/student_2_أ_37.jpg
"إيمان عمار الهمداني",student2_أ_38@example.com,766425504,female,2,أ,students/student_2_أ_38.jpg
"حسن رامي الحاشدي",student2_أ_39@example.com,787918273,male,2,أ,students/student_2_أ_39.jpg
"مازن إبراهيم القاسمي",student2_أ_40@example.com,728468872,male,2,أ,students/student_2_أ_40.jpg
"وليد أحمد الشريف",student2_أ_41@example.com,726427510,male,2,أ,students/student_2_أ_41.jpg
"ريم فارس الجبري",student2_أ_42@example.com,765773777,female,2,أ,students/student_2_أ_42.jpg
"محمد سليمان المطري",student2_أ_43@example.com,754885223,male,2,أ,students/student_2_أ_43.jpg
"قاسم حسين الهمداني",student2_أ_44@example.com,791877284,male,2,أ,students/student_2_أ_44.jpg
"قاسم حسن المذحجي",student2_أ_45@example.com,779429710,male,2,أ,students/student_2_أ_45.jpg
"عبدالله علي الحرازي",student2_أ_46@example.com,741486388,male,2,أ,students/student_2_أ_46.jpg
"سامي حسن الأهجري",student2_أ_47@example.com,757283363,male,2,أ,students/student_2_أ_47.jpg
"يحيى إبراهيم الشريف",student2_أ_48@example.com,776349888,male,2,أ,students/student_2_أ_48.jpg
"رامي سامي المؤيد",student2_أ_49@example.com,791297057,male,2,أ,students/student_2_أ_49.jpg
"خلود باسم الحاشدي",student2_أ_50@example.com,763380759,female,2,أ,students/student_2_أ_50.jpg
"ريم قاسم الخميسي",student2_ب_1@example.com,712394889,female,2,ب,students/student_2_ب_1.jpg
"رامي رامي القرشي",student2_ب_2@example.com,745193758,male,2,ب,students/student_2_ب_2.jpg
"فؤاد علي اليافعي",student2_ب_3@example.com,786088684,male,2,ب,students/student_2_ب_3.jpg
"خلود صالح الزبيري",student2_ب_4@example.com,737964142,female,2,ب,students/student_2_ب_4.jpg
"عمار فارس المطري",student2_ب_5@example.com,778053099,male,2,ب,students/student_2_ب_5.jpg
"عبدالله علي المتوكل",student2_ب_6@example.com,712195086,male,2,ب,students/student_2_ب_6.jpg
"إيمان هاني المذحجي",student2_ب_7@example.com,787218079,female,2,ب,students/student_2_ب_7.jpg
"هاني إبراهيم الهمداني",student2_ب_8@example.com,754627043,male,2,ب,students/student_2_ب_8.jpg
"بلقيس علي الزبيري",student2_ب_9@example.com,790326248,female,2,ب,students/student_2_ب_9.jpg
"هاني علي اليافعي",student2_ب_10@example.com,792916135,male,2,ب,students/student_2_ب_10.jpg
"إبراهيم وليد الهمداني",student2_ب_11@example.com,771534831,male,2,ب,students/student_2_ب_11.jpg
"هدى عبدالله الحرازي",student2_ب_12@example.com,720862717,female,2,ب,students/student_2_ب_12.jpg
"سامي سامي اليافعي",student2_ب_13@example.com,769127915,male,2,ب,students/student_2_ب_13.jpg
"عائشة عمار الحاشدي",student2_ب_14@example.com,730672066,female,2,ب,students/student_2_ب_14.jpg
"خلود حسن الهمداني",student2_ب_15@example.com,723826994,female,2,ب,students/student_2_ب_15.jpg
"فؤاد محمد السفياني",student2_ب_16@example.com,760258003,male,2,ب,students/student_2_ب_16.jpg
"زينب علي المطري",student2_ب_17@example.com,772312820,female,2,ب,students/student_2_ب_17.jpg
"أمل حسن الوزير",student2_ب_18@example.com,782632667,female,2,ب,students/student_2_ب_18.jpg
"فؤاد فارس القاسمي",student2_ب_19@example.com,730718867,male,2,ب,students/student_2_ب_19.jpg
"باسم باسم المذحجي",student2_ب_20@example.com,766787319,male,2,ب,students/student_2_ب_20.jpg
"أمل عبدالله الأهجري",student2_ب_21@example.com,755698480,female,2,ب,students/student_2_ب_21.jpg
"فؤاد علي المتوكل",student2_ب_22@example.com,725349780,male,2,ب,students/student_2_ب_22.jpg
"يحيى مازن اليافعي",student2_ب_23@example.com,734222203,male,2,ب,students/student_2_ب_23.jpg
"عمار رامي الهمداني",student2_ب_24@example.com,788380600,male,2,ب,students/student_2_ب_24.jpg
"أروى فارس المذحجي",student2_ب_25@example.com,728043933,female,2,ب,students/student_2_ب_25.jpg
"محمد مازن اليافعي",student2_ب_26@example.com,757777656,male,2,ب,students/student_2_ب_26.jpg
"منى عبدالله الهمداني",student2_ب_27@example.com,773005133,female,2,ب,students/student_2_ب_27.jpg
"محمد سليمان المذحجي",student2_ب_28@example.com,767572886,male,2,ب,students/student_2_ب_28.jpg
"مريم هاني الحرازي",student2_ب_29@example.com,732780440,female,2,ب,students/student_2_ب_29.jpg
"رامي محمد الحاشدي",student2_ب_30@example.com,752645304,male,2,ب,students/student_2_ب_30.jpg
"رامي إبراهيم الجبري",student2_ب_31@example.com,743238756,male,2,ب,students/student_2_ب_31.jpg
"منى حسين القاسمي",student2_ب_32@example.com,741747371,female,2,ب,students/student_2_ب_32.jpg
"حسين عبدالله اليافعي",student2_ب_33@example.com,762370307,male,2,ب,students/student_2_ب_33.jpg
"محمد يحيى البكاري",student2_ب_34@example.com,766118704,male,2,ب,students/student_2_ب_34.jpg
"حسين محمد الهمداني",student2_ب_35@example.com,791072316,male,2,ب,students/student_2_ب_35.jpg
"أحمد سليمان الكندي",student2_ب_36@example.com,793996162,male,2,ب,students/student_2_ب_36.jpg
"عبدالله سامي المذحجي",student2_ب_37@example.com,741198960,male,2,ب,students/student_2_ب_37.jpg
"عبير وليد السفياني",student2_ب_38@example.com,768308588,female,2,ب,students/student_2_ب_38.jpg
"عبير قاسم الحرازي",student2_ب_39@example.com,761399918,female,2,ب,students/student_2_ب_39.jpg
"ليلى باسم المطري",student2_ب_40@example.com,754079101,female,2,ب,students/student_2_ب_40.jpg
"حنان إبراهيم القاسمي",student2_ب_41@example.com,721676749,female,2,ب,students/student_2_ب_41.jpg
"أمل هاني اليافعي",student2_ب_42@example.com,761339440,female,2,ب,students/student_2_ب_42.jpg
"فؤاد سامي القرشي",student2_ب_43@example.com,746507430,male,2,ب,students/student_2_ب_43.jpg
"أمل عبدالله القاسمي",student2_ب_44@example.com,781554899,female,2,ب,students/student_2_ب_44.jpg
"بلقيس باسم المتوكل",student2_ب_45@example.com,761914869,female,2,ب,students/student_2_ب_45.jpg
"أمل فارس الأهجري",student2_ب_46@example.com,753264365,female,2,ب,students/student_2_ب_46.jpg
"إيمان عمار المتوكل",student2_ب_47@example.com,744509793,female,2,ب,students/student_2_ب_47.jpg
"حسين مازن الإرياني",student2_ب_48@example.com,719744792,male,2,ب,students/student_2_ب_48.jpg
"عبدالله فارس البيضاني",student2_ب_49@example.com,771308334,male,2,ب,students/student_2_ب_49.jpg
"إيمان وليد الصايدي",student2_ب_50@example.com,750829427,female,2,ب,students/student_2_ب_50.jpg
"ليلى محمد الكندي",student3_أ_1@example.com,789937420,female,3,أ,students/student_3_أ_1.jpg
"فاطمة قاسم المتوكل",student3_أ_2@example.com,762747891,female,3,أ,students/student_3_أ_2.jpg
"سليمان يحيى الأهجري",student3_أ_3@example.com,762431035,male,3,أ,students/student_3_أ_3.jpg
"سليمان مازن البيضاني",student3_أ_4@example.com,760309943,male,3,أ,students/student_3_أ_4.jpg
"ريم صالح الخميسي",student3_أ_5@example.com,787495269,female,3,أ,students/student_3_أ_5.jpg
"زينب صالح المذحجي",student3_أ_6@example.com,788445759,female,3,أ,students/student_3_أ_6.jpg
"محمد سليمان الوزير",student3_أ_7@example.com,778912176,male,3,أ,students/student_3_أ_7.jpg
"هاني هاني الأهجري",student3_أ_8@example.com,754989785,male,3,أ,students/student_3_أ_8.jpg
"عبير محمد الحرازي",student3_أ_9@example.com,774790126,female,3,أ,students/student_3_أ_9.jpg
"ليلى سامي الذيفاني",student3_أ_10@example.com,738688994,female,3,أ,students/student_3_أ_10.jpg
"سارة سامي القرشي",student3_أ_11@example.com,749846400,female,3,أ,students/student_3_أ_11.jpg
"أحمد باسم الأهجري",student3_أ_12@example.com,747707892,male,3,أ,students/student_3_أ_12.jpg
"خلود سليمان المطري",student3_أ_13@example.com,758572199,female,3,أ,students/student_3_أ_13.jpg
"سليمان قاسم الخميسي",student3_أ_14@example.com,798114709,male,3,أ,students/student_3_أ_14.jpg
"علي حسن الحاشدي",student3_أ_15@example.com,737270179,male,3,أ,students/student_3_أ_15.jpg
"إيمان باسم البكاري",student3_أ_16@example.com,710410141,female,3,أ,students/student_3_أ_16.jpg
"ليلى محمد الزبيري",student3_أ_17@example.com,776987188,female,3,أ,students/student_3_أ_17.jpg
"باسم فؤاد القرشي",student3_أ_18@example.com,798250331,male,3,أ,students/student_3_أ_18.jpg
"بلقيس صالح الصايدي",student3_أ_19@example.com,711884462,female,3,أ,students/student_3_أ_19.jpg
"أحمد سامي الوزير",student3_أ_20@example.com,799598521,male,3,أ,students/student_3_أ_20.jpg
"فوزية رامي البكاري",student3_أ_21@example.com,756649906,female,3,أ,students/student_3_أ_21.jpg
"نورا يحيى المتوكل",student3_أ_22@example.com,727676007,female,3,أ,students/student_3_أ_22.jpg
"حسن حسين المتوكل",student3_أ_23@example.com,768027278,male,3,أ,students/student_3_أ_23.jpg
"أحمد فارس الشريف",student3_أ_24@example.com,713661138,male,3,أ,students/student_3_أ_24.jpg
"محمد صالح البيضاني",student3_أ_25@example.com,786104656,male,3,أ,students/student_3_أ_25.jpg
"حنان يحيى الزبيري",student3_أ_26@example.com,799148107,female,3,أ,students/student_3_أ_26.jpg
"مازن فارس الذيفاني",student3_أ_27@example.com,774108528,male,3,أ,students/student_3_أ_27.jpg
"فوزية حسين المذحجي",student3_أ_28@example.com,788926598,female,3,أ,students/student_3_أ_28.jpg
"سلوى سامي السفياني",student3_أ_29@example.com,795172212,female,3,أ,students/student_3_أ_29.jpg
"حنان قاسم المذحجي",student3_أ_30@example.com,723119214,female,3,أ,students/student_3_أ_30.jpg
"عمار فارس الصايدي",student3_أ_31@example.com,748499482,male,3,أ,students/student_3_أ_31.jpg
"هاني باسم المؤيد",student3_أ_32@example.com,771809300,male,3,أ,students/student_3_أ_32.jpg
"ريم وليد القرشي",student3_أ_33@example.com,769027137,female,3,أ,students/student_3_أ_33.jpg
"أروى فؤاد البيضاني",student3_أ_34@example.com,743522686,female,3,أ,students/student_3_أ_34.jpg
"سامي علي الكندي",student3_أ_35@example.com,778346713,male,3,أ,students/student_3_أ_35.jpg
"سارة هاني الذيفاني",student3_أ_36@example.com,719799014,female,3,أ,students/student_3_أ_36.jpg
"سارة إبراهيم المؤيد",student3_أ_37@example.com,788176894,female,3,أ,students/student_3_أ_37.jpg
"بلقيس فارس البكاري",student3_أ_38@example.com,735768424,female,3,أ,students/student_3_أ_38.jpg
"حسين صالح البيضاني",student3_أ_39@example.com,785100430,male,3,أ,students/student_3_أ_39.jpg
"نورا محمد الذيفاني",student3_أ_40@example.com,758933043,female,3,أ,students/student_3_أ_40.jpg
"أروى صالح القرشي",student3_أ_41@example.com,744880107,female,3,أ,students/student_3_أ_41.jpg
"فوزية حسين اليافعي",student3_أ_42@example.com,743784523,female,3,أ,students/student_3_أ_42.jpg
"علي علي الإرياني",student3_أ_43@example.com,724007338,male,3,أ,students/student_3_أ_43.jpg
"يحيى قاسم المطري",student3_أ_44@example.com,722827365,male,3,أ,students/student_3_أ_44.jpg
"أمل سامي اليافعي",student3_أ_45@example.com,784715159,female,3,أ,students/student_3_أ_45.jpg
"بلقيس إبراهيم اليافعي",student3_أ_46@example.com,765547493,female,3,أ,students/student_3_أ_46.jpg
"نورا عبدالله الحرازي",student3_أ_47@example.com,758015849,female,3,أ,students/student_3_أ_47.jpg
"رامي قاسم الهمداني",student3_أ_48@example.com,761698314,male,3,أ,students/student_3_أ_48.jpg
"سارة هاني الحرازي",student3_أ_49@example.com,753271596,female,3,أ,students/student_3_أ_49.jpg
"باسم سامي الجبري",student3_أ_50@example.com,766826468,male,3,أ,students/student_3_أ_50.jpg
"إبراهيم عمار الكندي",student3_ب_1@example.com,788722859,male,3,ب,students/student_3_ب_1.jpg
"فوزية يحيى الوزير",student3_ب_2@example.com,727673573,female,3,ب,students/student_3_ب_2.jpg
"ريم عمار المذحجي",student3_ب_3@example.com,725397609,female,3,ب,students/student_3_ب_3.jpg
"هاني وليد الأهجري",student3_ب_4@example.com,718593686,male,3,ب,students/student_3_ب_4.jpg
"سليمان عبدالله اليدومي",student3_ب_5@example.com,787330839,male,3,ب,students/student_3_ب_5.jpg
"إيمان إبراهيم المؤيد",student3_ب_6@example.com,760582530,female,3,ب,students/student_3_ب_6.jpg
"صالح فارس المتوكل",student3_ب_7@example.com,734457943,male,3,ب,students/student_3_ب_7.jpg
"حسن علي الصايدي",student3_ب_8@example.com,781660818,male,3,ب,students/student_3_ب_8.jpg
"سامي رامي الحرازي",student3_ب_9@example.com,737830829,male,3,ب,students/student_3_ب_9.jpg
"زينب إبراهيم القرشي",student3_ب_10@example.com,764436921,female,3,ب,students/student_3_ب_10.jpg
"صالح مازن اليدومي",student3_ب_11@example.com,792340174,male,3,ب,students/student_3_ب_11.jpg
"فاطمة وليد الزبيري",student3_ب_12@example.com,713356632,female,3,ب,students/student_3_ب_12.jpg
"سامي حسين القاسمي",student3_ب_13@example.com,728837917,male,3,ب,students/student_3_ب_13.jpg
"يحيى فارس اليافعي",student3_ب_14@example.com,745092186,male,3,ب,students/student_3_ب_14.jpg
"منى إبراهيم السفياني",student3_ب_15@example.com,777559516,female,3,ب,students/student_3_ب_15.jpg
"هدى مازن الزبيري",student3_ب_16@example.com,730294730,female,3,ب,students/student_3_ب_16.jpg
"يحيى عبدالله المؤيد",student3_ب_17@example.com,745418395,male,3,ب,students/student_3_ب_17.jpg
"أمل حسن الشريف",student3_ب_18@example.com,742488195,female,3,ب,students/student_3_ب_18.jpg
"محمد حسن الحاشدي",student3_ب_19@example.com,774153271,male,3,ب,students/student_3_ب_19.jpg
